,open,high,low,close,volume,timestamp
0,269.8,272.25,266.4,267.95,11496987.0,2024-04-12
1,265.15,266.5,260.0,261.4,11835728.0,2024-04-15
2,258.8,259.5,254.0,254.7,11074547.0,2024-04-16
3,255.25,263.4,255.25,259.0,13204672.0,2024-04-18
4,256.5,257.6,251.1,256.95,9169415.0,2024-04-19
5,258.9,262.0,257.8,261.3,9419094.0,2024-04-22
6,263.0,263.55,259.7,260.15,14502060.0,2024-04-23
7,261.25,261.85,258.45,259.1,8677169.0,2024-04-24
8,259.0,269.5,258.5,268.65,23475720.0,2024-04-25
9,270.0,272.7,267.35,268.05,14775940.0,2024-04-26
10,269.1,273.9,265.0,272.6,22257247.0,2024-04-29
11,273.35,284.8,272.6,281.5,39453521.0,2024-04-30
12,281.45,283.9,279.0,279.4,12366464.0,2024-05-02
13,282.25,282.5,274.25,275.75,19568548.0,2024-05-03
14,276.0,276.0,259.7,265.7,34253148.0,2024-05-06
15,266.6,268.35,257.8,259.05,17373412.0,2024-05-07
16,259.05,266.2,258.1,262.5,31407247.0,2024-05-08
17,270.0,271.7,259.95,262.65,33562988.0,2024-05-09
18,265.7,266.7,248.35,254.85,39476449.0,2024-05-10
19,260.3,261.8,251.55,259.05,31581807.0,2024-05-13
20,259.7,263.2,257.6,260.85,12196792.0,2024-05-14
21,261.25,267.7,260.75,263.9,19280956.0,2024-05-15
22,264.55,267.1,259.05,262.9,15531360.0,2024-05-16
23,262.55,264.65,259.9,261.4,13847808.0,2024-05-17
24,263.0,263.2,261.6,262.5,903260.0,2024-05-18
25,261.5,266.8,260.25,265.5,17185189.0,2024-05-21
26,267.0,267.95,262.5,263.35,16912682.0,2024-05-22
27,265.5,272.0,264.6,269.25,24738523.0,2024-05-23
28,268.95,272.2,267.75,268.95,16509527.0,2024-05-24
29,269.5,273.4,265.65,270.55,13764764.0,2024-05-27
30,271.0,271.8,262.6,264.3,12897363.0,2024-05-28
31,262.9,266.2,261.8,263.4,15041927.0,2024-05-29
32,261.75,267.4,261.15,262.85,9840965.0,2024-05-30
33,263.4,266.35,261.5,264.9,17253924.0,2024-05-31
34,277.0,299.7,277.0,296.95,74818392.0,2024-06-03
35,292.0,292.0,237.6,248.25,84878240.0,2024-06-04
36,257.0,262.85,236.45,260.0,70386788.0,2024-06-05
37,262.6,274.0,261.45,268.9,31690680.0,2024-06-06
38,268.35,272.0,266.75,270.8,19749116.0,2024-06-07
39,273.4,279.5,272.35,276.4,21735106.0,2024-06-10
40,276.5,279.3,274.0,274.8,13094039.0,2024-06-11
41,274.9,284.9,273.75,283.4,29504096.0,2024-06-12
42,285.0,285.2,281.25,282.7,14322702.0,2024-06-13
43,283.0,287.5,281.6,286.25,13911039.0,2024-06-14
44,286.25,288.45,285.1,287.3,10174646.0,2024-06-18
45,287.0,290.5,282.65,283.95,33193685.0,2024-06-19
46,284.0,287.7,283.65,285.2,13675594.0,2024-06-20
47,285.2,286.8,278.6,279.35,15165917.0,2024-06-21
48,279.5,282.1,273.5,280.6,17778427.0,2024-06-24
49,281.0,283.45,279.0,280.65,13386910.0,2024-06-25
50,282.0,283.6,279.2,280.95,16075754.0,2024-06-26
51,280.0,282.9,277.0,279.85,14743494.0,2024-06-27
52,273.0,280.8,272.9,275.4,15270017.0,2024-06-28
53,275.25,276.3,271.75,272.15,12001891.0,2024-07-01
54,273.0,273.5,264.2,265.0,13960959.0,2024-07-02
55,267.3,269.75,263.05,267.85,18643235.0,2024-07-03
56,268.05,271.45,265.5,270.15,12965149.0,2024-07-04
57,270.0,274.4,268.95,273.8,15355368.0,2024-07-05
58,268.0,268.0,261.55,262.35,22806599.0,2024-07-08
59,264.3,264.7,261.1,261.7,13578992.0,2024-07-09
60,263.5,263.5,254.55,256.55,18117284.0,2024-07-10
61,258.7,259.05,255.55,256.7,9469388.0,2024-07-11
62,257.1,259.1,250.05,250.6,19538619.0,2024-07-12
63,252.6,259.3,250.65,258.55,29164529.0,2024-07-15
64,259.8,260.9,256.95,258.2,18989023.0,2024-07-16
65,258.2,258.85,254.8,255.45,18903883.0,2024-07-18
66,256.0,257.25,248.75,250.6,13018805.0,2024-07-19
67,249.7,256.2,246.75,253.0,14680632.0,2024-07-22
68,255.1,255.1,243.85,251.1,9028466.0,2024-07-23
69,252.0,252.9,246.05,248.95,21869220.0,2024-07-24
70,248.25,249.1,244.85,245.35,16680821.0,2024-07-25
71,246.0,250.7,244.05,249.7,16144925.0,2024-07-26
72,254.0,260.75,251.3,255.9,32691314.0,2024-07-29
73,256.55,257.95,254.9,256.25,11358547.0,2024-07-30
74,257.4,257.4,251.5,253.65,17796739.0,2024-07-31
75,258.1,258.45,250.25,251.25,33759802.0,2024-08-01
76,250.0,250.0,242.55,243.7,26445597.0,2024-08-02
77,238.35,241.7,231.25,239.95,33533629.0,2024-08-05
78,241.55,246.35,238.7,239.5,22617452.0,2024-08-06
79,243.0,244.45,239.0,243.4,15128074.0,2024-08-07
80,243.5,244.75,240.5,241.35,10738946.0,2024-08-08
81,243.2,250.2,242.1,245.85,18588035.0,2024-08-09
82,244.0,246.95,242.5,244.85,11628884.0,2024-08-12
83,245.05,246.55,241.0,241.75,10527254.0,2024-08-13
84,241.9,243.4,238.75,239.45,13196198.0,2024-08-14
85,241.5,243.75,240.5,243.45,8039046.0,2024-08-16
86,243.9,249.45,243.9,247.35,10533731.0,2024-08-19
87,247.35,255.05,246.95,254.35,25268902.0,2024-08-20
88,254.85,255.4,251.05,253.4,14318532.0,2024-08-21
89,254.35,256.8,253.5,254.1,11102262.0,2024-08-22
90,254.1,255.1,251.8,252.5,6941785.0,2024-08-23
91,253.25,253.7,251.0,251.4,12148085.0,2024-08-26
92,251.6,252.5,250.1,251.2,7571973.0,2024-08-27
93,251.2,251.65,248.05,249.85,16568081.0,2024-08-28
94,249.85,250.7,247.65,249.8,9988780.0,2024-08-29
95,250.45,253.85,249.65,250.1,12909590.0,2024-08-30
96,251.0,255.95,248.1,253.9,17493446.0,2024-09-02
97,253.7,254.65,250.35,250.7,9389384.0,2024-09-03
98,247.95,249.45,242.35,243.5,17943213.0,2024-09-04
99,245.0,245.1,240.85,243.85,14160225.0,2024-09-05
100,243.5,244.2,235.05,235.85,21276104.0,2024-09-06
101,235.85,237.2,231.5,235.55,15982999.0,2024-09-09
102,237.3,237.45,235.0,235.7,10135668.0,2024-09-10
103,236.0,237.2,231.75,232.8,11565080.0,2024-09-11
104,235.0,237.9,233.2,237.1,8287067.0,2024-09-12
105,238.8,241.15,236.7,239.45,15452772.0,2024-09-13
106,240.45,241.95,238.55,239.15,6992312.0,2024-09-16
107,240.0,240.65,238.2,239.5,6653415.0,2024-09-17
108,239.0,240.9,237.1,237.9,10071196.0,2024-09-18
109,238.8,241.6,231.0,235.85,15897092.0,2024-09-19
110,237.9,239.5,235.0,235.5,17417523.0,2024-09-20
111,237.3,245.4,236.0,244.5,16696706.0,2024-09-23
112,244.3,247.1,241.9,243.6,10357559.0,2024-09-24
113,243.6,245.15,240.55,243.2,9323772.0,2024-09-25
114,244.0,245.95,241.7,245.15,7377443.0,2024-09-26
115,245.2,250.0,244.6,249.6,21539028.0,2024-09-27
116,247.5,251.6,246.15,247.8,12929732.0,2024-09-30
117,250.0,251.4,248.1,248.91,8742175.0,2024-10-01
118,245.79,249.77,243.5,245.06,13127876.0,2024-10-03
119,247.73,255.7,244.34,250.59,41064802.0,2024-10-04
120,252.0,253.28,239.04,242.67,18620251.0,2024-10-07
121,243.0,248.69,240.85,247.24,14466416.0,2024-10-08
122,248.59,250.5,244.25,246.32,19792122.0,2024-10-09
123,247.09,252.09,244.89,246.05,17374776.0,2024-10-10
124,246.81,248.2,242.13,242.42,9419288.0,2024-10-11
125,243.8,245.75,242.6,244.55,6326914.0,2024-10-14
126,245.06,248.14,242.18,243.81,10652623.0,2024-10-15
127,243.79,245.59,242.7,244.15,5229639.0,2024-10-16
128,244.15,245.19,239.73,241.96,10781332.0,2024-10-17
129,240.65,248.75,237.85,247.97,10982434.0,2024-10-18
130,248.0,251.2,244.84,245.77,7677386.0,2024-10-21
131,245.0,245.5,233.1,233.65,10255996.0,2024-10-22
132,233.65,239.84,229.26,237.96,16390552.0,2024-10-23
133,236.73,245.7,236.3,244.77,11899296.0,2024-10-24
134,244.0,245.9,234.25,239.52,13124438.0,2024-10-25
135,240.0,253.58,239.9,249.92,34626442.0,2024-10-28
136,249.9,255.0,247.51,254.56,15007577.0,2024-10-29
137,254.7,256.39,250.61,251.48,13781718.0,2024-10-30
